"코드
 번호",회사명,주가,시가총액,"총자산
 (억)","매출액
 (억)"
A073240,금호타이어,5860,9258.4,49937,29271.29
A200130,콜마비앤에이치,"36,150","10,680","2,495","3,675"
A005290,동진쎄미켐,"17,150","8,818","6,782","7,917"
A048260,오스템임플란트,"60,900","8,700","5,673","3,970"
A003300,한일시멘트,"172,500","13,016","32,597","15,908"
A098460,고영,"91,100","12,468","2,038","1,940"
A108230,톱텍,"28,200","10,376","6,297","11,978"
A003000,부광약품,"26,500","12,951","2,375","1,443"
A145990,삼양사,"101,500","10,444","19,742","20,342"
A000370,한화손해보험,"8,800","10,273","143,777","52,209"
A069260,휴켐스,"24,950","10,199","8,820","7,023"
A002020,코오롱,"63,300","7,635","34,125","43,604"
A069080,웹젠,"31,000","10,946","3,148","1,801"
A020560,아시아나항공,"5,400","11,083","84,073","60,447"
A012510,더존비즈온,"46,650","13,842","2,482","2,056"
A006040,동원산업,"339,000","11,401","26,093","21,580"
A089590,제주항공,"39,300","10,358","7,748","9,255"
A175330,JB금융지주,"6,580","10,228","471,166","17,335"
A006840,AK홀딩스,"83,600","11,075","24,635","32,694"
A192080,더블유게임즈,"61,300","10,786","11,044","2,512"
A093370,후성,"10,850","10,025","2,853","2,385"
A008000,도레이케미칼,"19,850","9,203","7,778","8,973"
A028300,에이치엘비,"48,450","17,630","1,638",242
A095700,제넥신,"83,700","16,796","1,973",157
A003090,대웅,"18,000","10,466","11,245","11,137"
A018670,SK가스,"102,000","9,235","39,553","63,164"
A071320,지역난방공사,"76,100","8,811","52,956","17,167"
A085620,미래에셋생명,"5,420","7,869","348,236","29,769"
A002270,롯데푸드,"647,000","7,323","14,657","18,178"
A108670,LG하우시스,"90,200","8,089","26,897","32,565"
A034830,한국토지신탁,"3,240","8,181","11,300","2,361"
A226320,잇츠한불,"62,600","13,728","4,921","1,792"
A066970,엘앤에프,"42,150","10,360","2,817","3,567"
A081660,휠라코리아,"89,800","10,976","27,415","23,300"
A001680,대상,"27,900","9,667","23,888","29,669"
A005880,대한해운,"31,750","7,755","28,124","12,721"
A014680,한솔케미칼,"68,000","7,681","6,627","5,143"
A049770,동원F&B,"264,000","10,188","14,921","24,860"
A029460,케이씨,"21,550","2,921","5,040","7,671"
A001060,JW중외제약,"51,500","10,060","6,381","4,907"
A023590,다우기술,"25,250","11,329","109,044","12,939"
A123890,한국자산신탁,"7,120","7,315","7,223","1,990"
A214370,케어젠,"93,000","9,991","2,384",554
A000640,동아쏘시오홀딩스,"154,000","9,453","14,834","6,822"
A058470,리노공업,"62,100","9,466","2,448","1,336"
A170900,동아에스티,"121,000","10,217","9,213","5,341"
A000070,삼양홀딩스,"121,500","10,406","26,922","23,738"
